PolicyNo,ClaimNumber,Premium,InsuredLocation,Loss Ratio,Nearest Firestation miles,Number of Firefighters,Fireplace,Year Built
,,,,0.6,6,4,yes,1994
,,,,1,9,4,yes,1982
,,,,0.8,10,5,yes,1975
,,,,0.8,15,4,yes,1985
,,,,1.1,9,5,yes,1986
,,,,0.7,10,5,yes,1966
,,,,1,5,6,yes,1974
,,,,1,8,5,yes,1987
,,,,1.1,17,5,yes,1964
,,,,1,13,5,yes,1978
,,,,1,12,5,yes,1988
,,,,1.1,15,6,yes,1982
,,,,0.8,17,6,yes,1965
,,,,0.9,18,6,yes,1976
,,,,1.1,6,6,yes,1983
,,,,0.8,12,5,yes,1992
,,,,0.7,18,5,yes,1968
,,,,0.8,7,6,yes,1983
,,,,0.7,7,4,yes,1975
,,,,0.8,13,4,yes,1985
,,,,0.9,8,6,yes,1994
,,,,0.7,5,6,yes,1986
,,,,0.8,11,6,yes,1965
,,,,1,20,5,yes,1992
,,,,1,13,5,yes,1993
,,,,0.8,19,6,yes,1962
,,,,1.1,10,4,yes,1987
,,,,0.7,18,4,yes,1983
,,,,1,6,6,yes,1984
,,,,0.9,19,4,yes,1962
,,,,1.1,7,4,yes,1985
,,,,1.1,13,5,yes,1980
,,,,0.1,1,7,yes,2020
,,,,0.1,2,10,yes,1972
,,,,0.1,3,8,yes,2019
,,,,0.4,1,9,yes,1962
,,,,0.2,2,9,yes,2004
,,,,0.4,3,7,yes,1966
,,,,0.3,2,7,yes,2011
,,,,0.3,2,9,yes,1981
,,,,0.1,3,8,yes,2011
,,,,0.2,3,10,yes,1984
,,,,0.4,1,7,yes,2005
,,,,0.4,4,9,yes,1984
,,,,0.1,2,8,yes,2014
,,,,0.2,4,8,yes,1981
,,,,0.5,1,10,yes,2005
,,,,0.3,2,7,yes,1977
,,,,0.3,2,8,yes,2013
,,,,0.3,2,9,yes,1982
,,,,0.3,3,8,yes,2005
,,,,0.4,2,10,yes,1964
,,,,0.2,4,8,yes,2006
,,,,0.2,1,8,yes,1978
,,,,0.4,1,10,yes,2003
,,,,0.3,2,9,yes,1971
,,,,0.4,2,8,yes,2009
,,,,0.1,4,10,yes,1962
,,,,0.1,1,10,yes,1996
,,,,0.2,4,10,yes,1963
,,,,0.2,3,8,yes,2016
,,,,0.3,1,8,yes,1984
,,,,0.2,3,10,yes,2006
,,,,0.1,3,7,yes,1988
,,,,0.4,1,8,yes,2013
,,,,0.1,1,8,yes,1964
,,,,0.5,4,7,yes,2003
,,,,0.4,4,9,yes,1968
,,,,0.1,2,10,yes,2000
,,,,0.2,3,7,yes,1985
,,,,0.5,3,7,yes,1997
,,,,0.3,1,7,yes,1991
,,,,0.3,1,8,yes,2019
,,,,0.2,3,7,yes,1982
,,,,0.4,1,7,yes,2015
,,,,0.4,1,8,yes,1973
,,,,0.5,3,10,yes,2000
,,,,0.3,2,9,yes,1983
,,,,0.1,4,7,yes,2012
,,,,0.5,4,8,yes,1966
,,,,0.4,1,8,yes,2005
,,,,0.4,1,10,yes,1980
,,,,0.2,3,8,yes,2012
,,,,0.1,4,8,yes,1992
,,,,0.3,2,10,yes,2012
,,,,0.5,3,8,yes,1983
,,,,0.4,3,8,yes,2000
,,,,0.2,2,10,yes,1966
,,,,0.3,4,9,yes,1997
,,,,0.4,1,8,yes,1964
,,,,0.4,3,7,yes,2015
,,,,0.1,4,8,yes,1977
,,,,0.4,1,10,yes,1999
,,,,0.3,1,9,yes,1994
,,,,0.4,3,10,yes,1998
,,,,0.3,3,10,yes,1978
,,,,0.3,1,8,yes,2016
,,,,0.1,1,9,yes,1961
,,,,0.2,4,8,yes,2004
,,,,0.1,4,7,yes,1982
,,,,0.1,4,10,yes,2003
,,,,0.1,2,7,yes,1983
,,,,0.1,1,8,yes,2009
,,,,0.3,4,9,yes,1984
,,,,0.4,1,10,yes,1997
,,,,0.3,2,7,yes,1982
,,,,0.1,2,10,yes,2000
,,,,0.3,3,10,yes,1976
,,,,0.5,3,7,yes,2003
,,,,0.4,4,8,yes,1994
,,,,0.2,3,7,yes,1996
,,,,0.2,3,7,yes,1960
,,,,0.3,4,8,yes,2002
,,,,0.2,3,8,yes,1981
,,,,0.1,3,7,yes,2013
,,,,0.5,2,9,yes,1965
,,,,0.2,2,7,yes,1999
,,,,0.2,3,10,yes,1961
,,,,0.4,3,9,yes,2013
,,,,0.4,4,10,yes,1972
,,,,0.3,3,9,yes,2016
,,,,0.4,4,7,yes,1961
,,,,0.4,1,8,yes,1996
,,,,0.2,4,10,yes,1962
,,,,0.1,2,10,yes,2019
,,,,0.5,4,10,yes,1971
,,,,0.4,1,7,yes,2015
,,,,0.4,3,10,yes,1981
,,,,0.5,2,7,yes,1998
,,,,0.2,2,7,yes,1993
,,,,0.2,1,8,yes,2015
,,,,0.2,3,10,yes,1993
,,,,0.5,3,7,yes,2014
,,,,0.1,4,10,yes,1963
,,,,0.1,2,7,yes,2006
,,,,0.4,1,9,yes,1977
,,,,0.1,1,10,yes,2004
,,,,0.2,2,9,yes,1993
,,,,0.4,4,7,yes,2004
,,,,0.3,2,9,yes,1991
,,,,0.3,2,8,yes,2004
,,,,0.3,1,8,yes,1991
,,,,0.5,4,10,yes,2004
,,,,0.1,2,10,yes,1985
,,,,0.5,4,10,yes,2016
,,,,0.4,3,10,yes,1980
,,,,0.2,3,8,yes,2011
,,,,0.4,4,7,yes,1986
,,,,0.1,1,10,yes,2012
,,,,0.4,3,9,yes,1978
,,,,0.5,4,8,yes,1995
,,,,0.1,3,9,yes,1989
,,,,0.2,2,9,yes,2017
,,,,0.3,1,7,yes,1993
,,,,0.2,3,10,yes,2008
,,,,0.5,1,7,yes,1981
,,,,0.5,2,10,yes,2003
,,,,0.5,2,10,yes,1973
,,,,0.5,3,9,yes,1999
,,,,0.4,2,8,yes,1974
,,,,0.1,1,8,yes,2019
,,,,0.2,2,7,yes,1975
,,,,0.2,4,7,yes,2013
,,,,0.2,2,10,yes,1993
,,,,0.3,3,8,yes,2003
,,,,0.2,4,8,yes,1989
,,,,0.5,4,7,yes,2012
,,,,0.4,3,8,yes,1983
,,,,0.1,4,8,yes,2014
,,,,0.2,3,9,yes,1973
,,,,0.4,3,8,yes,2018
,,,,0.4,2,10,yes,1976
,,,,0.4,4,8,yes,2006
,,,,0.2,4,8,yes,1967
,,,,0.2,2,9,yes,2018
,,,,0.5,3,8,yes,1990
,,,,0.4,3,7,yes,2002
,,,,0.3,4,9,yes,1981
